intent,tool_name,risk_level,requires_confirmation,count
append_note,append_to_note,low,False,34
check_calendar,check_calendar,low,False,35
clarify_ambiguous,ask_clarification,none,False,14
close_app,close_application,medium,False,44
create_calendar_event,create_calendar_event,medium,True,162
create_note,create_note,low,False,39
decrease_brightness,adjust_screen_brightness,low,False,19
decrease_volume,adjust_system_volume,low,False,21
delete_file,delete_file,high,True,26
draft_email,draft_email,medium,True,45
increase_brightness,adjust_screen_brightness,low,False,15
increase_volume,adjust_system_volume,low,False,25
lock_screen,lock_screen,medium,True,6
move_file,move_file,medium,True,17
mute_volume,mute_system_volume,low,False,7
next_track,next_media_track,low,False,6
open_app,open_application,low,False,49
open_file,open_file,medium,False,142
open_folder,open_folder,low,False,64
open_terminal,open_terminal,medium,False,5
pause_media,pause_media,low,False,7
play_music,play_music,low,False,43
previous_track,previous_media_track,low,False,5
rename_file,rename_file,medium,True,7
restart_system,restart_system,high,True,6
run_script,run_script,high,True,30
search_files,search_files,low,False,936
search_web,search_web,low,False,30
send_email,send_email,high,True,40
set_brightness,set_screen_brightness,low,False,76
set_reminder,set_reminder,low,False,65
set_volume,set_system_volume,low,False,154
shutdown_system,shutdown_system,high,True,8
smart_home_off,control_smart_home_device,medium,False,104
smart_home_on,control_smart_home_device,medium,False,103
smart_home_set,set_smart_home_device_value,medium,False,31
start_timer,start_timer,low,False,25
switch_app,switch_application,low,False,33
take_screenshot,take_screenshot,low,False,7
toggle_bluetooth,toggle_bluetooth,medium,True,5
toggle_wifi,toggle_wifi,medium,True,7
unsupported_request,unsupported_request,none,False,3
