id,utterance,intent,slots,tool_name,tool_arguments,risk_level,requires_confirmation,expected_result,source,language,domain
e24527672ae1,hey jarvis set volume to 90 percent for me,set_volume,"{""level"": 90}",set_system_volume,"{""level"": 90}",low,False,Volume set to 90%,synthetic_paraphrase_wrapper,en,laptop_assistant
d6e461d4d0c0,set volume to 70 percent,set_volume,"{""level"": 70}",set_system_volume,"{""level"": 70}",low,False,Volume set to 70%,synthetic_template,en,laptop_assistant
b5df9b625d2a,search for invoice pptx files in Music,search_files,"{""file_type"": ""pptx"", ""folder"": ""Music"", ""query"": ""invoice""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Music"", ""query"": ""invoice""}",low,False,Search results for invoice,synthetic_template,en,laptop_assistant
439a9c74949d,hey jarvis find presentation files in Documents,search_files,"{""file_type"": ""png"", ""folder"": ""Documents"", ""query"": ""presentation""}",search_files,"{""file_type"": ""png"", ""folder"": ""Documents"", ""query"": ""presentation""}",low,False,Search results for presentation,synthetic_paraphrase_wrapper,en,laptop_assistant
b517ee8d151f,make screen brightness 30,set_brightness,"{""level"": 30}",set_screen_brightness,"{""level"": 30}",low,False,Brightness set to 30%,synthetic_template,en,laptop_assistant
199c792ad5e6,jarvis schedule class lecture on 25 June at 7 pm when possible,create_calendar_event,"{""date"": ""on 25 June"", ""time"": ""at 7 pm"", ""title"": ""class lecture""}",create_calendar_event,"{""date"": ""on 25 June"", ""time"": ""at 7 pm"", ""title"": ""class lecture""}",medium,True,Calendar event confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
e77231ad842d,could you look for script documents quickly,search_files,"{""file_type"": ""pdf"", ""folder"": ""Videos"", ""query"": ""script""}",search_files,"{""file_type"": ""pdf"", ""folder"": ""Videos"", ""query"": ""script""}",low,False,Search results for script,synthetic_paraphrase_wrapper,en,laptop_assistant
99a5a0cd3a19,could you look for presentation documents when possible,search_files,"{""file_type"": ""zip"", ""folder"": ""Screenshots"", ""query"": ""presentation""}",search_files,"{""file_type"": ""zip"", ""folder"": ""Screenshots"", ""query"": ""presentation""}",low,False,Search results for presentation,synthetic_paraphrase_wrapper,en,laptop_assistant
c0bfdc0a8bd9,schedule study session tomorrow at 9:30 am,create_calendar_event,"{""date"": ""tomorrow"", ""time"": ""at 9:30 am"", ""title"": ""study session""}",create_calendar_event,"{""date"": ""tomorrow"", ""time"": ""at 9:30 am"", ""title"": ""study session""}",medium,True,Calendar event confirmation required,synthetic_template,en,laptop_assistant
6ef82afb44ac,exit Zoom,close_app,"{""app"": ""zoom"", ""display_name"": ""Zoom""}",close_application,"{""app"": ""zoom""}",medium,False,Zoom handled,synthetic_template,en,laptop_assistant
6b7eb8a9ccb2,please search for invoice zip files in Documents please,search_files,"{""file_type"": ""zip"", ""folder"": ""Documents"", ""query"": ""invoice""}",search_files,"{""file_type"": ""zip"", ""folder"": ""Documents"", ""query"": ""invoice""}",low,False,Search results for invoice,synthetic_paraphrase_wrapper,en,laptop_assistant
fc2bd83e1a51,can you schedule birthday call on Friday at 9:30 am quickly,create_calendar_event,"{""date"": ""on Friday"", ""time"": ""at 9:30 am"", ""title"": ""birthday call""}",create_calendar_event,"{""date"": ""on Friday"", ""time"": ""at 9:30 am"", ""title"": ""birthday call""}",medium,True,Calendar event confirmation required,synthetic_paraphrase_wrapper,en,laptop_assistant
8fca4cb26d5c,put speaker volume at 25 percent for me,set_volume,"{""level"": 25}",set_system_volume,"{""level"": 25}",low,False,Volume set to 25%,synthetic_paraphrase_wrapper,en,laptop_assistant
6276ab51c4b2,jarvis find photo files in Screenshots right now,search_files,"{""file_type"": ""jpg"", ""folder"": ""Screenshots"", ""query"": ""photo""}",search_files,"{""file_type"": ""jpg"", ""folder"": ""Screenshots"", ""query"": ""photo""}",low,False,Search results for photo,synthetic_paraphrase_wrapper,en,laptop_assistant
62a008b10d98,could you find assignment files in Videos when possible,search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""assignment""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""assignment""}",low,False,Search results for assignment,synthetic_paraphrase_wrapper,en,laptop_assistant
b5a0fef3bc97,please find invoice files in Videos for me,search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""invoice""}",search_files,"{""file_type"": ""pptx"", ""folder"": ""Videos"", ""query"": ""invoice""}",low,False,Search results for invoice,synthetic_paraphrase_wrapper,en,laptop_assistant
6a266a262c41,search for resume xlsx files in Desktop,search_files,"{""file_type"": ""xlsx"", ""folder"": ""Desktop"", ""query"": ""resume""}",search_files,"{""file_type"": ""xlsx"", ""folder"": ""Desktop"", ""query"": ""resume""}",low,False,Search results for resume,synthetic_template,en,laptop_assistant
7b732c955725,can you search web for best laptop under 60000 right now,search_web,"{""query"": ""best laptop under 60000""}",search_web,"{""query"": ""best laptop under 60000""}",low,False,Web search opened for best laptop under 60000,synthetic_paraphrase_wrapper,en,laptop_assistant
56e7784f6b76,look for budget documents,search_files,"{""file_type"": ""jpg"", ""folder"": ""Documents"", ""query"": ""budget""}",search_files,"{""file_type"": ""jpg"", ""folder"": ""Documents"", ""query"": ""budget""}",low,False,Search results for budget,synthetic_template,en,laptop_assistant
ba0cb0502b36,show me resume.py,open_file,"{""file_name"": ""resume.py""}",open_file,"{""file_name"": ""resume.py""}",medium,False,resume.py opened,synthetic_template,en,laptop_assistant
4b387b2688cb,hey jarvis go to Screenshots right now,open_folder,"{""folder"": ""Screenshots""}",open_folder,"{""folder"": ""Screenshots""}",low,False,Screenshots folder opened,synthetic_paraphrase_wrapper,en,laptop_assistant
f4ec0893aa48,could you switch on the speaker in the living room,smart_home_on,"{""device"": ""speaker"", ""room"": ""living room"", ""state"": ""on""}",control_smart_home_device,"{""device"": ""speaker"", ""room"": ""living room"", ""state"": ""on""}",medium,False,Smart home device turned on,synthetic_paraphrase_wrapper,en,laptop_assistant
